TicketID,DateID,Time of Purchase,Purchase Type,Payment Method,Railcard,Ticket Class,Ticket Type
4537465f-3c5c-4f68-a9f1,57,3:40:57 AM,Online,Credit Card,None,Standard,Advance
4631f5eb-ace7-40b8-9a52,57,4:55:46 PM,Online,Credit Card,None,Standard,Advance
22f73bdf-e70c-4814-b92e,57,5:02:28 PM,Online,Credit Card,None,Standard,Advance
e1c91ca0-af8b-4504-a504,57,5:07:13 PM,Online,Credit Card,None,Standard,Advance
614efe91-b785-48c7-9f5b,57,8:19:24 PM,Online,Credit Card,None,Standard,Advance
cfdb66d7-b64d-4f43-ba50,57,8:22:52 PM,Online,Credit Card,None,Standard,Advance
d239eeb0-999b-4020-98ac,57,8:23:31 PM,Online,Credit Card,None,Standard,Advance
39c22a16-e8e6-4f5f-aed7,57,8:23:47 PM,Online,Credit Card,None,Standard,Advance
b3f75504-3f42-4030-94eb,57,8:24:47 PM,Online,Credit Card,None,Standard,Advance
7ccf29c8-4902-45b7-9fc0,57,8:26:08 PM,Online,Credit Card,None,Standard,Advance
091d2508-e36f-40c7-9a6b,57,8:27:51 PM,Online,Credit Card,None,Standard,Advance
767fea59-0d3c-43f0-9f4d,57,8:28:53 PM,Online,Credit Card,None,Standard,Advance
ddd81bda-bc14-4e59-a739,57,8:29:34 PM,Online,Credit Card,None,Standard,Advance
05704a71-15d0-4d09-9411,57,1:10:57 AM,Online,Credit Card,None,Standard,Advance
f2993fd8-addf-477f-85e6,57,3:58:47 AM,Online,Credit Card,None,Standard,Advance
bd8415ad-a658-442b-af46,57,8:00:06 AM,Online,Credit Card,None,Standard,Advance
6ff241e9-cbd6-4060-80ef,57,8:08:30 AM,Online,Credit Card,None,Standard,Advance
f1759b8a-eece-4456-b25e,57,8:11:40 AM,Online,Credit Card,None,Standard,Advance
5f4669ec-a805-4b34-9919,57,8:12:16 AM,Online,Credit Card,None,Standard,Advance
93c5408a-d532-4d6b-b3a4,57,5:53:56 PM,Online,Credit Card,None,Standard,Advance
febe29e5-77a9-4b43-91a8,57,6:32:36 PM,Online,Credit Card,None,Standard,Advance
1f705842-c5a8-4ae3-9908,57,6:37:24 PM,Online,Credit Card,None,Standard,Advance
6d83b96f-6fb2-48a3-a604,57,6:38:32 PM,Online,Credit Card,None,Standard,Advance
c7f4e69c-3b2a-48ea-bece,57,6:42:40 PM,Online,Credit Card,None,Standard,Advance
8022d46a-aa51-4f9f-9443,57,8:23:18 PM,Online,Credit Card,None,Standard,Advance
14b623d3-2370-497b-b3a7,57,9:36:24 PM,Online,Credit Card,None,Standard,Advance
3c4ed888-710e-4a1f-bceb,57,3:44:23 AM,Online,Credit Card,None,Standard,Advance
5fe730f3-b56a-45ff-9555,57,6:59:35 AM,Online,Credit Card,None,Standard,Advance
8f4577e3-3ecf-4884-8145,57,7:50:36 AM,Online,Credit Card,None,Standard,Advance
48f40068-5917-4490-b102,57,8:20:54 AM,Online,Credit Card,None,Standard,Advance
3d6eb9cf-8d4c-4e19-84ad,57,8:50:04 AM,Online,Credit Card,None,Standard,Advance
d9cfe44a-bce1-4d4b-84ef,57,9:06:38 AM,Online,Credit Card,None,Standard,Advance
09204cb9-1ab1-4697-814b,57,9:06:43 AM,Online,Credit Card,None,Standard,Advance
45247bb7-2842-4364-9b13,57,9:08:37 AM,Online,Credit Card,None,Standard,Advance
06e2731a-9c90-4410-a2fd,57,9:10:39 AM,Online,Credit Card,None,Standard,Advance
be6364a4-ffa3-4ff0-a3b4,57,9:11:52 AM,Online,Credit Card,None,Standard,Advance
6c97848a-a408-44a1-9512,57,5:45:01 PM,Online,Credit Card,None,Standard,Advance
da379e14-880b-4ded-b2e7,57,5:47:28 PM,Online,Credit Card,None,Standard,Advance
0bf92dea-6733-44b9-afe9,57,5:48:05 PM,Online,Credit Card,None,Standard,Advance
7e3bd27c-be04-4378-bb1f,57,5:55:06 PM,Online,Credit Card,None,Standard,Advance
e7c16739-5d79-4eac-b59a,57,6:31:06 PM,Online,Credit Card,None,Standard,Advance
dda96dfd-abb4-4d2f-bfc3,57,8:16:24 AM,Online,Credit Card,None,Standard,Advance
35628365-bc0b-41ab-9c0c,57,8:19:44 AM,Online,Credit Card,None,Standard,Advance
de58893b-f95a-4da9-abf7,57,8:20:59 AM,Online,Credit Card,None,Standard,Advance
ae56afde-c1cc-4b93-bdb2,57,8:23:55 AM,Online,Credit Card,None,Standard,Advance
d9147e15-ff10-4aea-b6fb,57,8:26:59 AM,Online,Credit Card,None,Standard,Advance
f0a67351-5cc2-4414-9ce8,57,8:27:32 AM,Online,Credit Card,None,Standard,Advance
17cff55d-709a-4491-836a,57,8:29:58 AM,Online,Credit Card,None,Standard,Advance
d19a56fa-7dae-4700-8302,57,8:16:29 PM,Online,Credit Card,None,Standard,Advance
33241f6a-8353-49fe-b849,57,4:21:12 AM,Online,Credit Card,None,Standard,Advance
78374d58-af7f-4abc-be3d,57,9:59:42 AM,Online,Credit Card,None,Standard,Advance
79ca5127-b286-4ee6-81a2,57,11:44:44 AM,Online,Credit Card,None,Standard,Advance
7442feec-8698-4791-81cb,57,9:48:29 PM,Online,Credit Card,None,Standard,Advance
5cfa92c6-93f2-4518-b9bd,57,3:30:53 AM,Online,Credit Card,None,Standard,Advance
96f33c61-19ea-4dd2-9996,57,3:37:42 AM,Online,Credit Card,None,Standard,Advance
1d262f86-1e80-4f24-87f6,57,3:39:24 AM,Online,Credit Card,None,Standard,Advance
170b6e91-f429-4647-af63,57,8:32:42 AM,Online,Credit Card,None,Standard,Advance
c70a1299-b035-49b4-b695,57,8:44:08 AM,Online,Credit Card,None,Standard,Advance
fd9b0e03-7adc-46ab-9980,57,2:54:45 PM,Online,Credit Card,None,Standard,Advance
0d43ff63-2a13-470b-9d1a,57,8:23:12 PM,Online,Credit Card,None,Standard,Advance
2dafa6b5-c8be-4f4b-822b,58,1:07:54 AM,Online,Credit Card,None,Standard,Advance
3f91cf69-7ff0-47bb-bcd2,58,1:51:01 AM,Online,Credit Card,None,Standard,Advance
038758a2-ffae-455a-b3ef,58,3:34:26 AM,Online,Credit Card,None,Standard,Advance
590e9209-0524-455e-9154,58,4:19:04 AM,Online,Credit Card,None,Standard,Advance
d6fcf137-3e17-493c-8dab,58,4:19:23 AM,Online,Credit Card,None,Standard,Advance
340a39bd-9813-48df-a240,58,4:43:52 AM,Online,Credit Card,None,Standard,Advance
8b848994-4576-4d91-8dfd,58,5:01:08 AM,Online,Credit Card,None,Standard,Advance
c05f068b-7dce-4c49-8e8f,58,9:03:11 AM,Online,Credit Card,None,Standard,Advance
509a0519-3313-4688-8d4f,58,9:09:16 AM,Online,Credit Card,None,Standard,Advance
bf3a84a6-5014-4fbc-8d65,58,5:16:22 PM,Online,Credit Card,None,Standard,Advance
fe1f8c00-6f88-468c-ae96,58,5:27:11 PM,Online,Credit Card,None,Standard,Advance
a278100a-c3a0-493c-b072,58,7:56:18 PM,Online,Credit Card,None,Standard,Advance
7272b9f7-6741-4621-8a32,58,9:53:15 PM,Online,Credit Card,None,Standard,Advance
d97b234e-6690-4f48-9fa5,58,11:11:13 PM,Online,Credit Card,None,Standard,Advance
8c8253be-141b-40db-b40b,58,2:34:31 AM,Online,Credit Card,None,Standard,Advance
4421af7e-ca05-44fc-92d4,58,8:10:49 AM,Online,Credit Card,None,Standard,Advance
6b115e2e-d1bb-4762-9c5d,58,8:17:19 AM,Online,Credit Card,None,Standard,Advance
ee908126-03ac-4287-bfcf,58,8:17:30 AM,Online,Credit Card,None,Standard,Advance
e4fe5e95-21b0-4ebc-80ba,58,8:19:49 AM,Online,Credit Card,None,Standard,Advance
0607464f-46e1-482d-8903,58,8:25:10 AM,Online,Credit Card,None,Standard,Advance
27284b39-a01b-4e72-9a24,58,7:59:53 PM,Online,Credit Card,None,Standard,Advance
2ada0082-e099-4d3a-9e97,58,8:19:26 PM,Online,Credit Card,None,Standard,Advance
61b45313-f759-4272-8cf9,58,8:23:14 PM,Online,Credit Card,None,Standard,Advance
ec95c8c4-1ae7-4db9-9d8e,58,7:27:11 AM,Online,Credit Card,None,Standard,Advance
2f3ee091-3119-413e-aaf5,58,10:31:06 AM,Online,Credit Card,None,Standard,Advance
1e291fa8-bb92-4a81-bb18,58,4:55:03 PM,Online,Credit Card,None,Standard,Advance
9b902009-1972-4b24-a106,58,8:17:17 PM,Online,Credit Card,None,Standard,Advance
ae5b01d2-5fcc-41ce-b2f5,58,8:18:39 PM,Online,Credit Card,None,Standard,Advance
1d7bb165-ec63-48ae-b39b,58,8:18:53 PM,Online,Credit Card,None,Standard,Advance
974b61cb-968d-4e9c-b00a,58,8:19:38 PM,Online,Credit Card,None,Standard,Advance
82d8a5b6-a86a-4c2c-8313,58,8:22:20 PM,Online,Credit Card,None,Standard,Advance
372518f8-0081-4613-a2a5,58,8:24:36 PM,Online,Credit Card,None,Standard,Advance
22155267-3809-4800-b848,58,8:26:52 PM,Online,Credit Card,None,Standard,Advance
9049bc11-51e5-4769-b9d8,58,8:29:05 PM,Online,Credit Card,None,Standard,Advance
735d07bb-9399-45ce-abd0,58,8:29:50 PM,Online,Credit Card,None,Standard,Advance
f90d3c51-f657-4ad4-bc14,58,2:07:33 AM,Online,Credit Card,None,Standard,Advance
f2b87ef4-4851-4fc0-a83b,58,3:53:13 AM,Online,Credit Card,None,Standard,Advance
65f738d8-5ded-4075-9178,58,3:55:13 AM,Online,Credit Card,None,Standard,Advance
44f0e52b-a76d-444e-b060,58,8:01:46 AM,Online,Credit Card,None,Standard,Advance
95b43653-7f8d-4f8c-8220,58,8:07:52 AM,Online,Credit Card,None,Standard,Advance
d60ba49f-eddb-49cc-bcbb,58,8:13:52 AM,Online,Credit Card,None,Standard,Advance
ddafeea5-26df-47c0-a213,58,9:04:39 AM,Online,Credit Card,None,Standard,Advance
5d72e515-d38e-4342-a37e,58,9:55:06 AM,Online,Credit Card,None,Standard,Advance
d592e13a-2913-499b-901d,58,10:31:43 AM,Online,Credit Card,None,Standard,Advance
203cc707-9467-4d7f-b49e,58,10:41:25 AM,Online,Credit Card,None,Standard,Advance
23e76fd1-4a9c-4779-b627,58,12:11:54 PM,Online,Credit Card,None,Standard,Advance
1b3082ea-bea4-4090-aa08,58,2:47:07 PM,Online,Credit Card,None,Standard,Advance
0ce4abb7-38ed-42f0-8436,58,2:48:54 PM,Online,Credit Card,None,Standard,Advance
0742d4bf-247a-4488-b521,58,2:56:57 PM,Online,Credit Card,None,Standard,Advance
78849684-90ef-42cc-90ae,58,6:44:51 PM,Online,Credit Card,None,Standard,Advance
94f4cd6a-6a45-4f38-8b97,58,8:21:25 PM,Online,Credit Card,None,Standard,Advance
5e675eb1-a799-4dc7-85df,58,8:24:35 PM,Online,Credit Card,None,Standard,Advance
5e0837d0-55bd-490e-9569,58,9:34:49 PM,Online,Credit Card,None,Standard,Advance
d8731609-f124-44b6-adfe,58,9:37:47 PM,Online,Credit Card,None,Standard,Advance
21f86038-f575-4eb5-a916,58,9:38:25 PM,Online,Credit Card,None,Standard,Advance
d5261b8e-73a4-4f5b-b271,58,6:55:18 AM,Online,Credit Card,None,Standard,Advance
2b0fbbc8-566c-4847-896f,58,7:45:25 AM,Online,Credit Card,None,Standard,Advance
ec73c90b-7e1a-4d01-8f59,58,7:53:57 AM,Online,Credit Card,None,Standard,Advance
c7514772-d9e7-47d3-b85c,58,8:24:18 AM,Online,Credit Card,None,Standard,Advance
be65f4c5-f187-4e31-954c,58,9:00:33 AM,Online,Credit Card,None,Standard,Advance
f87c787e-d046-4d2c-b9e4,58,9:00:52 AM,Online,Credit Card,None,Standard,Advance
18da3b34-cdf5-48b3-8943,58,9:11:08 AM,Online,Credit Card,None,Standard,Advance
c13da87e-1cbf-4efb-8a76,58,10:19:35 AM,Online,Credit Card,None,Standard,Advance
803d4697-89c3-465c-8300,58,10:28:49 AM,Online,Credit Card,None,Standard,Advance
4f21888b-101c-4969-9e94,58,6:47:22 PM,Online,Credit Card,None,Standard,Advance
1f59a948-99ee-4a6a-9926,58,6:50:57 PM,Online,Credit Card,None,Standard,Advance
ea4d8414-6261-4491-ac23,58,6:56:33 PM,Online,Credit Card,None,Standard,Advance
4b76c290-0b43-440b-84b8,58,8:18:46 AM,Online,Credit Card,None,Standard,Advance
baa65ddb-6ed9-40a0-82ad,58,8:20:56 AM,Online,Credit Card,None,Standard,Advance
04abaf22-ecd4-45b5-9c26,58,8:22:35 AM,Online,Credit Card,None,Standard,Advance
2eb4c612-1000-451b-888e,58,8:29:02 AM,Online,Credit Card,None,Standard,Advance
9c9dc4a8-4755-42b1-b74b,58,8:02:55 AM,Online,Credit Card,None,Standard,Advance
a4d37655-7106-4044-8f6b,58,3:21:54 AM,Online,Credit Card,None,Standard,Advance
0906e4df-68df-48f1-83fa,58,3:25:33 AM,Online,Credit Card,None,Standard,Advance
4755c1ea-a082-4962-b732,58,9:59:09 AM,Online,Credit Card,None,Standard,Advance
a9761202-68ce-48de-8ec2,58,3:25:10 PM,Online,Credit Card,None,Standard,Advance
914f5780-ebd4-47c0-8414,58,9:47:53 AM,Online,Credit Card,None,Standard,Advance
eaca2522-4ccc-4ab0-8988,58,9:00:05 AM,Online,Credit Card,None,Standard,Advance
e381379c-bdbe-4acf-b19c,58,9:04:45 AM,Online,Credit Card,None,Standard,Advance
9e4ca342-2623-4cdd-bafe,58,9:06:00 AM,Online,Credit Card,None,Standard,Advance
c930845a-e590-41ca-959a,58,9:13:52 AM,Online,Credit Card,None,Standard,Advance
b5474290-ff5b-42ac-a207,58,9:14:53 AM,Online,Credit Card,None,Standard,Advance
9b68ac91-60d3-4178-bac4,58,8:30:57 PM,Online,Credit Card,None,Standard,Advance
eeb5b033-1358-4360-b778,64,1:06:31 AM,Online,Credit Card,None,Standard,Advance
610dc3e7-2da1-42ef-86f1,64,3:20:18 AM,Online,Credit Card,None,Standard,Advance
8723235c-3c5e-489f-8a93,64,5:44:36 AM,Online,Credit Card,None,Standard,Advance
e329cb5d-f997-4c4d-b07e,64,6:08:48 AM,Online,Credit Card,None,Standard,Advance
57740498-c688-4394-82c4,64,6:24:43 AM,Online,Credit Card,None,Standard,Advance
6eb01a53-a1df-49be-b38f,64,8:14:25 AM,Online,Credit Card,None,Standard,Advance
e16c46ce-9c8a-4dae-9d3f,64,9:15:41 AM,Online,Credit Card,None,Standard,Advance
0744e0eb-f3f7-4760-8cc5,64,9:54:45 AM,Online,Credit Card,None,Standard,Advance
a79f418d-5b44-4927-b0a8,64,5:45:47 PM,Online,Credit Card,None,Standard,Advance
3018fdeb-4930-4af1-ab7a,64,5:50:01 PM,Online,Credit Card,None,Standard,Advance
422a44fe-2442-4584-84d9,64,8:18:12 PM,Online,Credit Card,None,Standard,Advance
7a89c518-1f07-4044-b67d,64,8:42:19 PM,Online,Credit Card,None,Standard,Advance
66fcb578-0ff7-43cc-98f9,64,3:41:38 AM,Online,Credit Card,None,Standard,Advance
dde1be40-ff4c-4cc7-a2b8,64,6:06:51 AM,Online,Credit Card,None,Standard,Advance
97c7951e-078e-4fb5-8b69,64,8:17:55 AM,Online,Credit Card,None,Standard,Advance
312e1b72-4676-406f-b206,64,8:19:37 AM,Online,Credit Card,None,Standard,Advance
f7993f9c-4931-47f5-aa90,64,8:21:55 AM,Online,Credit Card,None,Standard,Advance
81034a51-2615-4ec8-8415,64,8:28:11 AM,Online,Credit Card,None,Standard,Advance
a9e922c7-fc73-4b6b-99cc,64,2:26:02 PM,Online,Credit Card,None,Standard,Advance
7cd65f43-612a-441a-b543,64,8:24:06 PM,Online,Credit Card,None,Standard,Advance
3d360699-4de9-40f9-9061,64,7:00:47 AM,Online,Credit Card,None,Standard,Advance
1fad8795-9fe4-4c93-9d64,64,8:29:30 AM,Online,Credit Card,None,Standard,Advance
84732f31-9929-4ede-9abd,64,4:30:24 PM,Online,Credit Card,None,Standard,Advance
b2b7d45f-e802-47e2-8384,64,4:47:30 PM,Online,Credit Card,None,Standard,Advance
6cac509e-fedc-4dec-af8f,64,8:22:03 PM,Online,Credit Card,None,Standard,Advance
b0dcd5cf-be91-4e71-a154,64,8:25:25 PM,Online,Credit Card,None,Standard,Advance
af7ee10b-75b2-41a3-b00c,64,8:27:40 PM,Online,Credit Card,None,Standard,Advance
7ee44a9d-1143-43d6-8aaf,64,3:50:13 AM,Online,Credit Card,None,Standard,Advance
2da26e8d-92de-4dac-b6ba,64,8:00:32 AM,Online,Credit Card,None,Standard,Advance
8d4dc2fb-79cb-4e2e-95c2,64,2:47:00 PM,Online,Credit Card,None,Standard,Advance
a0aedad3-9a61-403f-a9d1,64,2:52:50 PM,Online,Credit Card,None,Standard,Advance
3f78edf4-f51d-4099-be15,64,8:25:43 PM,Online,Credit Card,None,Standard,Advance
e88b6164-e892-4b1f-b8b0,64,4:43:19 AM,Online,Credit Card,None,Standard,Advance
e71d3629-036a-4f9f-9813,64,7:57:30 AM,Online,Credit Card,None,Standard,Advance
c87e78ee-3beb-498a-af06,64,7:58:11 AM,Online,Credit Card,None,Standard,Advance
262ce233-9c6f-4a39-af57,64,8:12:17 AM,Online,Credit Card,None,Standard,Advance
ae998310-edf5-401a-a1b7,64,8:25:34 AM,Online,Credit Card,None,Standard,Advance
da8d5135-305e-45d4-9469,64,9:08:01 AM,Online,Credit Card,None,Standard,Advance
6a110662-d9ea-467d-bc04,64,10:32:50 AM,Online,Credit Card,None,Standard,Advance
41dbfbea-5704-4c53-a142,64,5:57:46 PM,Online,Credit Card,None,Standard,Advance
5be1f829-de5d-4e4d-b70e,64,6:43:15 PM,Online,Credit Card,None,Standard,Advance
d2a33310-7307-4873-9c75,64,6:54:02 PM,Online,Credit Card,None,Standard,Advance
76e2ac63-a799-40c7-b7d1,64,8:17:03 AM,Online,Credit Card,None,Standard,Advance
37fdf09b-7ba1-4e99-acb9,64,8:17:25 AM,Online,Credit Card,None,Standard,Advance
77d3cc2f-d658-499a-b625,64,8:18:10 AM,Online,Credit Card,None,Standard,Advance
a27d1a45-9fc8-4952-a320,64,8:18:28 AM,Online,Credit Card,None,Standard,Advance
f329ad33-b992-4815-bf2a,64,8:23:44 AM,Online,Credit Card,None,Standard,Advance
a01c7773-38e9-4cd8-95af,64,8:28:10 AM,Online,Credit Card,None,Standard,Advance
deccb604-3b72-439c-922d,64,8:17:56 PM,Online,Credit Card,None,Standard,Advance
51c796b6-21d8-415b-916e,64,8:19:20 PM,Online,Credit Card,None,Standard,Advance
ddaaab3d-0395-470e-a682,64,8:22:46 PM,Online,Credit Card,None,Standard,Advance
99e0bfa7-31c0-456b-809f,64,8:14:22 AM,Online,Credit Card,None,Standard,Advance
a1adf6bd-aa10-4f6e-95b8,64,9:47:50 AM,Online,Credit Card,None,Standard,Advance
e396d6f3-1e58-4810-b87c,64,9:56:33 AM,Online,Credit Card,None,Standard,Advance
3bbebc31-4bff-48ba-8b3a,64,10:24:55 AM,Online,Credit Card,None,Standard,Advance
3b802fe4-d5c1-4fa0-8826,64,9:56:36 AM,Online,Credit Card,None,Standard,Advance
87008ce0-4046-42a0-87c5,64,8:20:28 PM,Online,Credit Card,None,Standard,Advance
675b35df-9998-4220-a215,64,8:25:34 PM,Online,Credit Card,None,Standard,Advance
4b5c8d59-125d-46b2-a892,64,9:57:41 PM,Online,Credit Card,None,Standard,Advance
1875858d-5845-436d-89a3,64,3:38:27 AM,Online,Credit Card,None,Standard,Advance
7580045a-28ca-4a85-a538,64,9:01:20 AM,Online,Credit Card,None,Standard,Advance
f71fc9ec-1b17-4543-bd34,64,9:02:19 AM,Online,Credit Card,None,Standard,Advance
cf835a70-8b29-4f5d-aef5,64,9:13:34 AM,Online,Credit Card,None,Standard,Advance
dc71af6a-a482-422d-aac9,64,6:04:12 AM,Online,Credit Card,None,Standard,Advance
0e0275db-f491-4369-84a9,64,8:54:45 AM,Online,Credit Card,None,Standard,Advance
aeeedaf5-7552-4cba-92df,64,8:57:50 AM,Online,Credit Card,None,Standard,Advance
e8a941db-3a1f-4580-b421,64,9:01:31 AM,Online,Credit Card,None,Standard,Advance
dc72be5d-3943-4b5b-8772,64,9:02:06 AM,Online,Credit Card,None,Standard,Advance
97c65bbb-e9a3-4739-a8dd,64,9:05:33 AM,Online,Credit Card,None,Standard,Advance
c5fedcab-5173-4d3f-837b,64,9:07:31 AM,Online,Credit Card,None,Standard,Advance
0ec1d59e-40e1-4b3d-89d6,64,8:32:59 PM,Online,Credit Card,None,Standard,Advance
068b7787-9f52-448d-97cd,67,3:37:51 AM,Online,Credit Card,None,Standard,Advance
823afa33-6be3-4544-85df,67,3:57:58 AM,Online,Credit Card,None,Standard,Advance
b7a2dd13-6a79-4c15-be20,67,4:03:02 AM,Online,Credit Card,None,Standard,Advance
d55c7fe2-5d37-4b8c-a63e,67,6:01:45 AM,Online,Credit Card,None,Standard,Advance
b09e2073-9345-4ba7-a9ca,67,7:54:34 AM,Online,Credit Card,None,Standard,Advance
12d34f44-cd67-49d8-b077,67,3:16:57 PM,Online,Credit Card,None,Standard,Advance
dfbf735e-f5b4-4ca5-beba,67,5:29:16 PM,Online,Credit Card,None,Standard,Advance
97d53481-1e00-4a4a-85df,67,8:16:12 PM,Online,Credit Card,None,Standard,Advance
88bf8c52-92e6-4a22-bd40,67,8:21:57 PM,Online,Credit Card,None,Standard,Advance
bbd93a85-5ab0-4419-ba47,67,9:32:46 PM,Online,Credit Card,None,Standard,Advance
7096ec35-98a3-4dd5-b924,67,9:56:18 PM,Online,Credit Card,None,Standard,Advance
67b6186d-00ca-4061-8cc0,67,7:21:22 AM,Online,Credit Card,None,Standard,Advance
9f588b56-4cca-4b52-9f83,67,8:19:34 AM,Online,Credit Card,None,Standard,Advance
23a385fe-9d43-40be-a50b,67,8:21:07 AM,Online,Credit Card,None,Standard,Advance
a97954e5-6a42-4e91-a863,67,8:22:46 AM,Online,Credit Card,None,Standard,Advance
f0893e33-b65a-48f9-8cbe,67,8:25:14 AM,Online,Credit Card,None,Standard,Advance
28f9eb1e-2022-4fd7-b2f9,67,8:37:30 AM,Online,Credit Card,None,Standard,Advance
610c39ab-5624-456a-a6f1,67,8:41:25 AM,Online,Credit Card,None,Standard,Advance
11e2ae10-d48c-4b71-901a,67,8:29:21 PM,Online,Credit Card,None,Standard,Advance
769bc876-cad0-4bc1-b80c,67,2:05:38 PM,Online,Credit Card,None,Standard,Advance
1e259043-7575-4c39-ae45,67,8:15:42 PM,Online,Credit Card,None,Standard,Advance
66c9fcc3-de95-4cae-897f,67,8:16:55 PM,Online,Credit Card,None,Standard,Advance
ea878fa8-a9ed-4893-8231,67,8:17:21 PM,Online,Credit Card,None,Standard,Advance
c8cc1ebc-f63a-47a9-9d46,67,8:22:57 PM,Online,Credit Card,None,Standard,Advance
e0248a06-5b09-4211-93ad,67,8:28:45 PM,Online,Credit Card,None,Standard,Advance
9f85a317-dfb0-47c3-b945,67,3:49:39 AM,Online,Credit Card,None,Standard,Advance
3a9d767f-624d-45ae-aa9a,67,7:45:31 AM,Online,Credit Card,None,Standard,Advance
5ed2b6c4-0958-4031-9430,67,8:12:11 AM,Online,Credit Card,None,Standard,Advance
805cba5d-914f-4764-a5dc,67,9:46:02 AM,Online,Credit Card,None,Standard,Advance
d29ada07-17d9-43af-b4ee,67,2:53:27 PM,Online,Credit Card,None,Standard,Advance
09bb95e7-8688-40b3-9aef,67,3:00:37 PM,Online,Credit Card,None,Standard,Advance
83287a55-0138-4031-862d,67,3:01:51 PM,Online,Credit Card,None,Standard,Advance
9f93ad16-2c2f-4bcb-8442,67,3:17:15 PM,Online,Credit Card,None,Standard,Advance
f50eb81f-97b4-42f6-ab82,67,5:25:57 PM,Online,Credit Card,None,Standard,Advance
c57a95ec-ad5d-43e8-b0c4,67,5:26:15 PM,Online,Credit Card,None,Standard,Advance
b4f774bb-1de3-48ea-a9e3,67,5:55:21 PM,Online,Credit Card,None,Standard,Advance
bb93ac53-ec1e-4f40-a59d,67,6:59:00 PM,Online,Credit Card,None,Standard,Advance
ee5ebb03-6de8-46bf-9134,67,8:22:17 PM,Online,Credit Card,None,Standard,Advance
868ddae1-6deb-4312-a230,67,8:26:36 PM,Online,Credit Card,None,Standard,Advance
010cce68-4df2-4919-aa9b,67,9:35:15 PM,Online,Credit Card,None,Standard,Advance
1618eb77-da97-4709-be67,67,10:11:43 PM,Online,Credit Card,None,Standard,Advance
6b499572-1721-4034-a037,67,9:00:44 AM,Online,Credit Card,None,Standard,Advance
aa96091a-9255-4217-a08b,67,9:00:51 AM,Online,Credit Card,None,Standard,Advance
5394a801-ccb3-4b12-84c0,67,9:02:39 AM,Online,Credit Card,None,Standard,Advance
d5221051-bc33-4bc4-9a70,67,9:05:10 AM,Online,Credit Card,None,Standard,Advance
eec07914-4408-4a4f-abe7,67,6:51:07 PM,Online,Credit Card,None,Standard,Advance
8f0c2ddc-c7fe-4edc-b733,67,6:51:24 PM,Online,Credit Card,None,Standard,Advance
3de15a38-b4ee-4190-a37b,67,1:11:49 AM,Online,Credit Card,None,Standard,Advance
c7cc5b24-2312-40ef-9f59,67,8:17:11 AM,Online,Credit Card,None,Standard,Advance
4a355dfb-8c62-436d-899b,67,8:25:27 AM,Online,Credit Card,None,Standard,Advance
b72a4668-6c85-46c1-ac8a,67,8:26:41 AM,Online,Credit Card,None,Standard,Advance
